[Epoch 1] Loss: 0.6133 | Acc: 0.7347 | F1: 0.0000 | AUC: 0.6656 | Precision: 0.0000 | Recall: 0.0000
[Epoch 2] Loss: 0.5316 | Acc: 0.7551 | F1: 0.1724 | AUC: 0.6975 | Precision: 0.7143 | Recall: 0.0980
[Epoch 3] Loss: 0.4653 | Acc: 0.7755 | F1: 0.3714 | AUC: 0.7628 | Precision: 0.6842 | Recall: 0.2549
[Epoch 4] Loss: 0.4365 | Acc: 0.8010 | F1: 0.5185 | AUC: 0.7976 | Precision: 0.7000 | Recall: 0.4118
[Epoch 5] Loss: 0.3726 | Acc: 0.8010 | F1: 0.5517 | AUC: 0.8084 | Precision: 0.6667 | Recall: 0.4706
[Epoch 6] Loss: 0.3431 | Acc: 0.7806 | F1: 0.3944 | AUC: 0.7849 | Precision: 0.7000 | Recall: 0.2745
[Epoch 7] Loss: 0.3509 | Acc: 0.7806 | F1: 0.4557 | AUC: 0.7893 | Precision: 0.6429 | Recall: 0.3529
[Epoch 8] Loss: 0.2747 | Acc: 0.8010 | F1: 0.6061 | AUC: 0.8024 | Precision: 0.6250 | Recall: 0.5882
[Epoch 9] Loss: 0.2654 | Acc: 0.7959 | F1: 0.6000 | AUC: 0.8039 | Precision: 0.6122 | Recall: 0.5882
[Epoch 10] Loss: 0.2544 | Acc: 0.7908 | F1: 0.6019 | AUC: 0.7866 | Precision: 0.5962 | Recall: 0.6078
[Epoch 11] Loss: 0.2089 | Acc: 0.7806 | F1: 0.5057 | AUC: 0.7650 | Precision: 0.6111 | Recall: 0.4314
[Epoch 12] Loss: 0.1878 | Acc: 0.7857 | F1: 0.5714 | AUC: 0.7822 | Precision: 0.5957 | Recall: 0.5490
[Epoch 13] Loss: 0.1644 | Acc: 0.7755 | F1: 0.5217 | AUC: 0.7689 | Precision: 0.5854 | Recall: 0.4706
[Epoch 14] Loss: 0.1266 | Acc: 0.7704 | F1: 0.5055 | AUC: 0.7765 | Precision: 0.5750 | Recall: 0.4510
[Epoch 15] Loss: 0.0988 | Acc: 0.7602 | F1: 0.5053 | AUC: 0.7640 | Precision: 0.5455 | Recall: 0.4706
[Epoch 16] Loss: 0.1078 | Acc: 0.7806 | F1: 0.5743 | AUC: 0.7792 | Precision: 0.5800 | Recall: 0.5686
[Epoch 17] Loss: 0.1087 | Acc: 0.7959 | F1: 0.5652 | AUC: 0.7842 | Precision: 0.6341 | Recall: 0.5098
[Epoch 18] Loss: 0.0830 | Acc: 0.7857 | F1: 0.5800 | AUC: 0.7907 | Precision: 0.5918 | Recall: 0.5686
[Epoch 19] Loss: 0.0933 | Acc: 0.7806 | F1: 0.5825 | AUC: 0.7778 | Precision: 0.5769 | Recall: 0.5882
[Epoch 20] Loss: 0.0897 | Acc: 0.7602 | F1: 0.5607 | AUC: 0.7858 | Precision: 0.5357 | Recall: 0.5882
[Epoch 21] Loss: 0.0702 | Acc: 0.7806 | F1: 0.5743 | AUC: 0.7811 | Precision: 0.5800 | Recall: 0.5686
[Epoch 22] Loss: 0.0693 | Acc: 0.7806 | F1: 0.5376 | AUC: 0.7828 | Precision: 0.5952 | Recall: 0.4902
[Epoch 23] Loss: 0.0764 | Acc: 0.7755 | F1: 0.5510 | AUC: 0.8087 | Precision: 0.5745 | Recall: 0.5294
[Epoch 24] Loss: 0.0728 | Acc: 0.7806 | F1: 0.5743 | AUC: 0.7963 | Precision: 0.5800 | Recall: 0.5686
[Epoch 25] Loss: 0.0513 | Acc: 0.7908 | F1: 0.6239 | AUC: 0.7981 | Precision: 0.5862 | Recall: 0.6667
[Epoch 26] Loss: 0.0748 | Acc: 0.8061 | F1: 0.6042 | AUC: 0.8257 | Precision: 0.6444 | Recall: 0.5686
[Epoch 27] Loss: 0.0498 | Acc: 0.7908 | F1: 0.5773 | AUC: 0.8139 | Precision: 0.6087 | Recall: 0.5490
[Epoch 28] Loss: 0.0426 | Acc: 0.8214 | F1: 0.6392 | AUC: 0.8254 | Precision: 0.6739 | Recall: 0.6078
[Epoch 29] Loss: 0.0328 | Acc: 0.8214 | F1: 0.6667 | AUC: 0.8385 | Precision: 0.6481 | Recall: 0.6863
[Epoch 30] Loss: 0.0725 | Acc: 0.7959 | F1: 0.5556 | AUC: 0.8375 | Precision: 0.6410 | Recall: 0.4902
